empno,ename,mgr_no,hiredate,sal,deptno
7369,Adarsh,7902,2012-12-17,80000.00,20
7499,Shruthi,7698,2013-02-20,16000.00,30
7521,Anvitha,7698,2015-02-22,12500.00,30
7566,Tanvir,7839,2008-04-02,29750.00,20
7654,Ramesh,7698,2014-09-28,12500.00,30
7698,Kumar,7839,2015-05-01,28500.00,30
7782,CLARK,7839,2017-06-09,24500.00,10
7788,SCOTT,7566,2010-12-09,30000.00,20
7839,KING,NULL,2009-11-17,90000,10
7844,TURNER,7698,2010-09-08,15000.00,30
7876,ADAMS,7788,2013-01-12,11000.00,20
7900,JAMES,7698,2017-12-03,9500.00,30
7902,FORD,7566,2010-12-03,30000.00,20
