empno,ename,mgr_no,hiredate,sal,deptno
7369,Adarsh,7902,2012-12-17,84000.00,20
7499,Shruthi,7698,2013-02-20,16800.00,30
7521,Anvitha,7698,2015-02-22,13125.00,30
7566,Tanvir,7839,2008-04-02,31237.50,20
7654,Ramesh,7698,2014-09-28,13125.00,30
7698,Kumar,7839,2015-05-01,29925.00,30
7782,CLARK,7839,2017-06-09,25725.00,10
7788,SCOTT,7566,2010-12-09,31500.00,20
7839,KING,NULL,2009-11-17,94500.00,10
7844,TURNER,7698,2010-09-08,15750.00,30
7876,ADAMS,7788,2013-01-12,11550.00,20
7900,JAMES,7698,2017-12-03,9975.00,30
7902,FORD,7566,2010-12-03,31500.00,20
